TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-01-23,2026-01-23,CM,NSE,STK,13436,INE397H01017,LOKESHMACH,EQ,,,,,LOKESH MACHINES LTD,165.8,165.8,151.06,154.63,153.0,164.38,,154.6,,,48118,7586419.85,2755,F1,1,,,,,
2026-01-23,2026-01-23,CM,NSE,STK,18232,INE846D01012,LORDSCHLO,EQ,,,,,LORDS CHLORO ALKALI LTD,144.74,145.52,139.02,140.56,139.05,144.11,,140.55,,,10131,1434557.3,409,F1,1,,,,,
2026-01-23,2026-01-23,CM,NSE,STK,14924,INE740X01023,LAL,EQ,,,,,LORENZINI APPARELS LTD,7.8,8.0,7.4,7.98,8.0,7.42,,7.97,,,56553,440797.78,342,F1,1,,,,,
2026-01-23,2026-01-23,CM,NSE,STK,16807,INE947I01017,LOTUSEYE,EQ,,,,,LOTUS EYE HOSP & INST L,121.45,122.18,119.57,122.17,122.18,116.37,,122.15,,,26863,3269043.1,362,F1,1,,,,,
2026-01-23,2026-01-23,CM,NSE,STK,22415,INE597L01014,LOVABLE,EQ,,,,,LOVABLE LINGERIE LTD,75.49,75.49,70.7,71.52,72.0,71.68,,71.4,,,8871,642950.46,235,F1,1,,,,,
2026-01-23,2026-01-23,CM,NSE,STK,10590,INE970D01010,LOYALTEX,EQ,,,,,LOYAL TEXTILE MILLS LTD,200.4,212.08,195.55,199.25,199.4,199.28,,199.25,,,608,121383.02,19,F1,1,,,,,
2026-01-23,2026-01-23,CM,NSE,STK,13816,INE818H01020,LTFOODS,EQ,,,,,LT FOODS LIMITED,349.95,351.2,339.5,345.9,346.0,349.8,,345.9,,,382311,131943201.55,15132,F1,1,,,,,
2026-01-23,2026-01-23,CM,NSE,STK,17818,INE214T01019,LTIM,EQ,,,,,LTIMINDTREE LIMITED,5960.0,6022.0,5854.0,5893.5,5868.0,5947.0,,5893.35,,,238727,1413144308.5,21076,F1,1,,,,,
2026-01-23,2026-01-23,CM,NSE,STK,14014,INE872H01027,LUMAXTECH,EQ,,,,,LUMAX AUTO TECH LTD,1399.3,1399.8,1353.9,1377.6,1356.8,1388.2,,1377.6,,,140415,194004623.6,15593,F1,1,,,,,
2026-01-23,2026-01-23,CM,NSE,STK,2018,INE162B01018,LUMAXIND,EQ,,,,,LUMAX INDUSTRIES LTD,4899.5,4956.0,4602.5,4631.5,4649.0,4966.5,,4631.55,,,17868,84354762.5,4566,F1,1,,,,,
